yahoo_ticker,symbol,company_name,sector,sub_industry,first_date,last_date,history_years,valid_obs,valid_ratio,avg_dollar_volume_60d,avg_dollar_volume_all,pass_has_data,pass_liquidity,pass_basic,return_missing_ratio,return_observations,pass_min_observations,pass_analysis
Q,Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,2025-10-27,2026-05-01,0.5092402464065708,129,0.06999457406402604,257748065.72355652,237906409.87761623,True,True,True,0.9305103148751357,128,False,False
SNDK,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",2025-02-13,2026-05-01,1.2101300479123889,305,0.16549104720564298,12824351107.846785,3803667712.590385,True,True,True,0.8349619978284474,304,True,True
GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,2024-03-27,2026-05-01,2.0944558521560577,526,0.2854042322300597,2301857415.119222,1395105684.9285026,True,True,True,0.7149837133550488,525,True,True
SOLV,SOLV,Solventum,Health Care,Health Care Technology,2024-03-26,2026-05-01,2.0971937029431897,527,0.28594682582745523,87408568.98650259,88009990.64086583,True,True,True,0.7144408251900108,526,True,True
VLTO,VLTO,Veralto,Industrials,Environmental & Facilities Services,2023-10-04,2026-05-01,2.5735797399041753,646,0.35051546391752575,189522279.48341218,158159449.90386477,True,True,True,0.6498371335504886,645,True,True
KVUE,KVUE,Kenvue,Consumer Staples,Personal Care Products,2023-05-04,2026-05-01,2.9924709103353866,751,0.40748779164405863,525340860.87144214,468681847.8319997,True,True,True,0.5928338762214984,750,True,True
GEHC,GEHC,GE HealthCare,Health Care,Health Care Equipment,2022-12-15,2026-05-01,3.375770020533881,846,0.45903418339663593,284329755.57863754,253696782.6570059,True,True,True,0.5412595005428882,845,True,True
CEG,CEG,Constellation Energy,Utilities,Electric Utilities,2022-01-19,2026-05-01,4.2792607802874745,1075,0.583288117200217,959979061.6028467,527296870.4207682,True,True,True,0.4169381107491857,1074,True,True
HOOD,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-07-29,2026-05-01,4.75564681724846,1195,0.6483993488876831,2511280578.09754,1051374494.1650391,True,True,True,0.3517915309446254,1194,True,True
APP,APP,AppLovin,Information Technology,Application Software,2021-04-15,2026-05-01,5.04312114989733,1268,0.6880086814975583,2285615652.348659,907816816.0173496,True,True,True,0.3121606948968513,1267,True,True
COIN,COIN,Coinbase,Financials,Financial Exchanges & Data,2021-04-14,2026-05-01,5.045859000684462,1269,0.6885512750949538,2252049986.519999,1867070225.2664435,True,True,True,0.3116178067318133,1268,True,True
EXE,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,2021-02-10,2026-05-01,5.218343600273785,1312,0.7118827997829625,413685165.8391958,204469587.14801016,True,True,True,0.28827361563517917,1311,True,True
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-10,2026-05-01,5.388090349075975,1353,0.7341291372761801,549140807.8612401,790222752.4272915,True,True,True,0.26601520086862107,1352,True,True
DASH,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-09,2026-05-01,5.390828199863107,1354,0.7346717308735757,844373223.1912994,571016926.0202613,True,True,True,0.26547231270358307,1353,True,True
PLTR,PLTR,Palantir Technologies,Information Technology,Application Software,2020-09-30,2026-05-01,5.582477754962355,1403,0.7612588171459577,7030511420.6611185,3132566534.626591,True,True,True,0.23887079261672095,1402,True,True
CARR,CARR,Carrier Global,Industrials,Building Products,2020-03-19,2026-05-01,6.116358658453114,1538,0.834508952794357,423717218.5312739,259789670.68203798,True,True,True,0.16558089033659065,1537,True,True
OTIS,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,2020-03-19,2026-05-01,6.116358658453114,1538,0.834508952794357,318258795.7938531,198621314.84029973,True,True,True,0.16558089033659065,1537,True,True
DDOG,DDOG,Datadog,Information Technology,Application Software,2019-09-19,2026-05-01,6.614647501711157,1663,0.9023331524688009,642580875.2836975,468450172.5987161,True,True,True,0.09771986970684039,1662,True,True
CRWD,CRWD,CrowdStrike,Information Technology,Systems Software,2019-06-12,2026-05-01,6.885694729637235,1732,0.9397721106890938,1646204124.6745808,921008385.3412586,True,True,True,0.06026058631921824,1731,True,True
CTVA,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-05-24,2026-05-01,6.937713894592744,1744,0.9462832338578405,309380341.4361922,190653249.55416852,True,True,True,0.05374592833876222,1743,True,True
UBER,UBER,Uber,Industrials,Passenger Ground Transportation,2019-05-10,2026-05-01,6.976043805612594,1754,0.951709169831796,1289398861.590682,1136799473.4923995,True,True,True,0.048317046688382194,1753,True,True
DOW,DOW,Dow Inc.,Materials,Commodity Chemicals,2019-03-20,2026-05-01,7.115674195756331,1790,0.9712425393380358,520321343.642909,281840248.67652637,True,True,True,0.028773072747014114,1789,True,True
FOX,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,2019-03-13,2026-05-01,7.134839151266256,1795,0.9739555073250136,92714649.06596343,49206640.523549825,True,True,True,0.026058631921824105,1794,True,True
FOXA,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2019-03-12,2026-05-01,7.137577002053388,1796,0.9744981009224091,233303736.0553217,146605276.90888816,True,True,True,0.025515743756786103,1795,True,True
FISV,FISV,Fiserv,Financials,Transaction & Payment Processing Services,2019-01-02,2026-05-01,7.326488706365503,1842,0.9994574064026045,408869162.494192,471422323.0145138,True,True,True,0.0,1842,True,True
NVDA,NVDA,Nvidia,Information Technology,Semiconductors,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,32107108753.568523,16623866841.152266,True,True,True,0.0,1842,True,True
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,24042825457.095116,21612951699.482735,True,True,True,0.0,1842,True,True
MU,MU,Micron Technology,Information Technology,Semiconductors,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,16915552562.061535,2352539593.062578,True,True,True,0.0,1842,True,True
MSFT,MSFT,Microsoft,Information Technology,Systems Software,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,14027282153.490286,7919299847.38208,True,True,True,0.0,1842,True,True
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,11656160440.633701,9357248733.744967,True,True,True,0.0,1842,True,True
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2019-01-02,2026-05-01,7.326488706365503,1843,1.0,11305463142.354229,11581156323.629942,True,True,True,0.0,1842,True,True
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,10033115826.63669,4320289217.799388,True,True,True,0.0,1842,True,True
META,META,Meta Platforms,Communication Services,Interactive Media & Services,2019-01-02,2026-05-01,7.326488706365503,1843,1.0,9443547913.564758,6427041172.152421,True,True,True,0.0,1842,True,True
