Ticker,symbol,company_name,sector,missing_ratio_after_clean,days_abs_return_gt_30pct
A,A,Agilent Technologies,Health Care,0.0,0
AAPL,AAPL,Apple Inc.,Information Technology,0.0,0
ABBV,ABBV,AbbVie,Health Care,0.0,0
ABNB,ABNB,Airbnb,Consumer Discretionary,0.26601520086862107,0
ABT,ABT,Abbott Laboratories,Health Care,0.0,0
ACGL,ACGL,Arch Capital Group,Financials,0.0,0
ACN,ACN,Accenture,Information Technology,0.0,0
ADBE,ADBE,Adobe Inc.,Information Technology,0.0,0
ADI,ADI,Analog Devices,Information Technology,0.0,0
ADM,ADM,Archer Daniels Midland,Consumer Staples,0.0,0
ADP,ADP,Automatic Data Processing,Industrials,0.0,0
ADSK,ADSK,Autodesk,Information Technology,0.0,0
AEE,AEE,Ameren,Utilities,0.0,0
AEP,AEP,American Electric Power,Utilities,0.0,0
AES,AES,AES Corporation,Utilities,0.0,0
AFL,AFL,Aflac,Financials,0.0,0
AIG,AIG,American International Group,Financials,0.0,0
AIZ,AIZ,Assurant,Financials,0.0,0
AJG,AJG,Arthur J. Gallagher & Co.,Financials,0.0,0
AKAM,AKAM,Akamai Technologies,Information Technology,0.0,0
ALB,ALB,Albemarle Corporation,Materials,0.0,0
ALGN,ALGN,Align Technology,Health Care,0.0,2
ALL,ALL,Allstate,Financials,0.0,0
ALLE,ALLE,Allegion,Industrials,0.0,0
AMAT,AMAT,Applied Materials,Information Technology,0.0,0
AMCR,AMCR,Amcor,Materials,0.0,0
AMD,AMD,Advanced Micro Devices,Information Technology,0.0,0
AME,AME,Ametek,Industrials,0.0,0
AMGN,AMGN,Amgen,Health Care,0.0,0
AMP,AMP,Ameriprise Financial,Financials,0.0,0
AMT,AMT,American Tower,Real Estate,0.0,0
AMZN,AMZN,Amazon,Consumer Discretionary,0.0,0
ANET,ANET,Arista Networks,Information Technology,0.0,0
AON,AON,Aon plc,Financials,0.0,0
AOS,AOS,A. O. Smith,Industrials,0.0,0
APA,APA,APA Corporation,Energy,0.0,2
APD,APD,Air Products,Materials,0.0,0
APH,APH,Amphenol,Information Technology,0.0,0
APO,APO,Apollo Global Management,Financials,0.0,0
APP,APP,AppLovin,Information Technology,0.3121606948968513,2
APTV,APTV,Aptiv,Consumer Discretionary,0.0,1
ARE,ARE,Alexandria Real Estate Equities,Real Estate,0.0,0
ARES,ARES,Ares Management,Financials,0.0,0
ATO,ATO,Atmos Energy,Utilities,0.0,0
AVB,AVB,AvalonBay Communities,Real Estate,0.0,0
AVGO,AVGO,Broadcom,Information Technology,0.0,0
AVY,AVY,Avery Dennison,Materials,0.0,0
AWK,AWK,American Water Works,Utilities,0.0,0
AXON,AXON,Axon Enterprise,Industrials,0.0,0
AXP,AXP,American Express,Financials,0.0,0
AZO,AZO,AutoZone,Consumer Discretionary,0.0,0
BA,BA,Boeing,Industrials,0.0,0
BAC,BAC,Bank of America,Financials,0.0,0
BALL,BALL,Ball Corporation,Materials,0.0,0
BAX,BAX,Baxter International,Health Care,0.0,0
BBY,BBY,Best Buy,Consumer Discretionary,0.0,0
BDX,BDX,Becton Dickinson,Health Care,0.0,0
BEN,BEN,Franklin Resources,Financials,0.0,0
BF-B,BF.B,Brown–Forman,Consumer Staples,0.0,0
BG,BG,Bunge Global,Consumer Staples,0.0,0
BIIB,BIIB,Biogen,Health Care,0.0,3
BK,BK,BNY Mellon,Financials,0.0,0
BKNG,BKNG,Booking Holdings,Consumer Discretionary,0.0,0
BKR,BKR,Baker Hughes,Energy,0.0,0
BLDR,BLDR,Builders FirstSource,Industrials,0.0,0
BLK,BLK,BlackRock,Financials,0.0,0
BMY,BMY,Bristol Myers Squibb,Health Care,0.0,0
BR,BR,Broadridge Financial Solutions,Industrials,0.0,0
BRK-B,BRK.B,Berkshire Hathaway,Financials,0.0,0
BRO,BRO,Brown & Brown,Financials,0.0,0
BSX,BSX,Boston Scientific,Health Care,0.0,0
