date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,-0.0028756907678417765,-0.0024595604703255836,-0.0022389119106540623,-0.0017354955428748875,-0.0005598425232749005,-0.0016511238933206718,0.0
2022-01-04,-0.0002485737479633876,-0.0005191959528588752,-0.00037133539122868875,-0.0032364648598058876,-0.002169732860631046,-0.0020801796490863556,-0.000629621957060511
2022-01-05,-0.0169700138417912,-0.015458816258485775,-0.015320958748988645,-0.032265069161222515,-0.015768179673543936,-0.016552274535907352,-0.0200101696416346
2022-01-06,-0.019089870903025385,-0.01725201724613057,-0.017474126104033205,-0.031197055145195884,-0.018131011226412475,-0.01614649479503527,-0.02095465347633263
2022-01-07,-0.025954436582049656,-0.023038836550127728,-0.02329221442899221,-0.04598111446893505,-0.021092156261355077,-0.02423312902107455,-0.024919999328131714
2022-01-10,-0.0203036486350332,-0.02059820700050119,-0.016731287371540726,-0.0305912264404139,-0.014287658361129885,-0.017228903891706504,-0.02632512008371868
2022-01-11,-0.016713354051006712,-0.015929714470614642,-0.014105070691125099,-0.030264092520192243,-0.014864214278711985,-0.016511376491285534,-0.01740627311137577
2022-01-12,-0.014951815816007352,-0.014672010352180687,-0.013207872717027058,-0.030345789767944664,-0.015688096963443754,-0.017562210353945562,-0.014637565271742536
2022-01-13,-0.022755259515096937,-0.021457015743674646,-0.018859241077141542,-0.04323777279455954,-0.022580866574306024,-0.02231449885764003,-0.028672688709712513
2022-01-14,-0.027458064450101016,-0.026910793189146576,-0.024661679365515776,-0.05180985194235854,-0.03348005177363644,-0.03335534725356981,-0.02787621947898633
2022-01-18,-0.04497089603484439,-0.04164579101656929,-0.04077734656855181,-0.0763401471783327,-0.04481454103189564,-0.046976728155934455,-0.0457515787630598
2022-01-19,-0.05267169208577449,-0.04736617643079011,-0.04482448697008312,-0.08214615142375126,-0.039833197122758235,-0.04491240321006584,-0.05499780879343141
2022-01-20,-0.06459519500575772,-0.05832876331769332,-0.05618278506059404,-0.0982573215593977,-0.04813660128145314,-0.055546331545828775,-0.0654281556555778
2022-01-21,-0.07860482781227596,-0.06996345303401685,-0.06799121791297391,-0.11292168806035752,-0.05565640600199129,-0.06276122718471533,-0.08310541561411533
2022-01-24,-0.07545034203780787,-0.06579039658490482,-0.06702677825772008,-0.1171690789170089,-0.06222176330097362,-0.06508764498692321,-0.08056402318759703
