date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,-0.0069140925685119425,-0.0103043415778169,-0.007581353810810598,-0.0023239022297846246,-0.012954825191879515,-0.008987106524626087,0.0
2022-01-04,-0.01240710865476502,-0.016783579501537194,-0.013106352831542378,-0.0106008544973335,-0.021816728033409505,-0.01499984218235939,-0.000629621957060511
2022-01-05,-0.0379439002622477,-0.038923658827385355,-0.03495088679490865,-0.043805518150263234,-0.03855165284838824,-0.0331763587875763,-0.0200101696416346
2022-01-06,-0.04251148982593733,-0.04361585442066185,-0.03901735688354413,-0.04726256131536777,-0.03973664765184748,-0.034760536645259466,-0.02095465347633263
2022-01-07,-0.05596829325016173,-0.05684613908558145,-0.05128214696283373,-0.0737777519678019,-0.05396994461836313,-0.04973822984240761,-0.024919999328131714
2022-01-10,-0.05526247927389305,-0.06006837233076723,-0.04943365840382985,-0.06197425064256645,-0.04461449657787331,-0.04692195262406551,-0.02632512008371868
2022-01-11,-0.05280936374936118,-0.05708314681929583,-0.04942277528008343,-0.06551464325271728,-0.0520794250776383,-0.05302151839577918,-0.01740627311137577
2022-01-12,-0.05159764377088971,-0.05792665377691675,-0.05013858127301962,-0.05853529792148493,-0.05926347219082295,-0.055853940567330174,-0.014637565271742536
2022-01-13,-0.06456385366059658,-0.06907334330545867,-0.059840065619928606,-0.07948351482530425,-0.0676868989131656,-0.0648802140532031,-0.028672688709712513
2022-01-14,-0.07090345076794302,-0.07633674089256848,-0.06679939800678591,-0.08925809026243259,-0.07650838966860929,-0.07420696533259852,-0.02787621947898633
2022-01-18,-0.09164510892446176,-0.09453542651836522,-0.08663464413175603,-0.11283086308670875,-0.09536988992685946,-0.09622627192937783,-0.0457515787630598
2022-01-19,-0.09581919293494512,-0.0949543374775782,-0.08700498822773106,-0.12044426310767065,-0.08789416122341209,-0.08795361694844439,-0.05499780879343141
2022-01-20,-0.10865637657215843,-0.10654779212220056,-0.10003843854148153,-0.13579151839328085,-0.10035356609922041,-0.10169965288950555,-0.0654281556555778
2022-01-21,-0.12176616451054145,-0.11733929578066737,-0.11173798435271831,-0.15510130111042164,-0.10941447565177642,-0.11210070491438018,-0.08310541561411533
2022-01-24,-0.11729052703730314,-0.11177315933804555,-0.1085656950356505,-0.15200342789983567,-0.10987384767104447,-0.10960796673779982,-0.08056402318759703
2022-01-25,-0.13393248089886656,-0.13001564694830792,-0.12661858074857701,-0.17117032410963418,-0.1265752482639395,-0.12835696008429465,-0.09175531170358764
2022-01-26,-0.14174034148247439,-0.1388199672512178,-0.133849177060958,-0.17168296338248656,-0.12991794316831917,-0.13232706215221246,-0.09311462326262221
2022-01-27,-0.1502544460440769,-0.1445202629243718,-0.13932170336634975,-0.18564061368396112,-0.1297701571409393,-0.13127256875839588,-0.09799737462404612
2022-01-28,-0.13591035694310238,-0.13165209153883872,-0.1286804202166416,-0.16953703952151877,-0.12278106465507532,-0.12607453230850263,-0.07603573320927481
2022-01-31,-0.11183711818001019,-0.10973361804384318,-0.10655880097894876,-0.1412478203854065,-0.1083393212999878,-0.10867755201838436,-0.05858578866385211
2022-02-01,-0.10972286798090036,-0.10746603947821065,-0.10404017106329344,-0.1357318324647595,-0.10350669722937678,-0.10392818314119812,-0.052124859582087346
2022-02-02,-0.0997429639567664,-0.09587912236505769,-0.09396818384927585,-0.12563222498213955,-0.09268958996964605,-0.09160761161629172,-0.04319349142935336
2022-02-03,-0.11005303696703672,-0.10428726298026925,-0.10293183334780343,-0.1337372927403494,-0.10116307455700557,-0.09658107209844902,-0.06653103751213263
2022-02-04,-0.1164433189674301,-0.11168751146463951,-0.10997591988060196,-0.14240357659084935,-0.10799608188431642,-0.10858431195319529,-0.061717203541966636
2022-02-07,-0.11650396711139976,-0.11114155755521538,-0.10919861036487388,-0.14404654967204666,-0.1065401173473215,-0.1062891005807498,-0.06519045682457736
2022-02-08,-0.11161508909824969,-0.10541528044681592,-0.10514245107390252,-0.14135717549084648,-0.10494652660177783,-0.10375878781849246,-0.057336928167616485
2022-02-09,-0.09915385438857194,-0.09390460048592353,-0.09392200055760402,-0.12865665764501133,-0.0984895269421836,-0.09608338110643033,-0.043652092385951136
2022-02-10,-0.1155300107815378,-0.1095894198988836,-0.10806683073699552,-0.14210325462771844,-0.1060156880289278,-0.1068350079438124,-0.06097702872389277
2022-02-11,-0.12028770128624244,-0.1151558583448854,-0.11063764759531847,-0.14998383604645737,-0.09621216275206601,-0.10547327388576189,-0.07878978210601117
2022-02-14,-0.12716537235643144,-0.12058317293732224,-0.11736334701505169,-0.16163192782127656,-0.09921349495080634,-0.11107236696340117,-0.08232777905308275
2022-02-15,-0.11443138476804504,-0.11004701568981345,-0.10692455305706039,-0.14774867030543526,-0.09503992805835793,-0.10573935095482656,-0.06785909701929704
2022-02-16,-0.1122800877443687,-0.10899932868603968,-0.10504362105738996,-0.1487163484099836,-0.09210709572146836,-0.10542459050415531,-0.06703768722600334
2022-02-17,-0.11897811837495653,-0.11336527833392707,-0.10845796147831088,-0.15427124215565946,-0.08505063090302978,-0.10061882151228796,-0.08679142716515853
2022-02-18,-0.12413198854097418,-0.1178638908067543,-0.11300550097784179,-0.15908184041423223,-0.09223647410150182,-0.10375926878742381,-0.09333562718643429
2022-02-22,-0.13824919324063378,-0.13115640135155515,-0.1268803456603872,-0.1737811841147897,-0.10727443214418486,-0.11869498035640458,-0.10253187429345623
2022-02-23,-0.1538140673160564,-0.14465590855801413,-0.14069487617427923,-0.19428192022485768,-0.11464274094635818,-0.12994515717743393,-0.11905616767387472
2022-02-24,-0.1402618573270965,-0.1346737919525569,-0.13012196188238379,-0.17104065694861792,-0.11310320158346776,-0.12377738010845352,-0.10588001757037158
2022-02-25,-0.12262450779724554,-0.11490511608167342,-0.11305772537884451,-0.16140867580304374,-0.09544159645258155,-0.10717203911720385,-0.08587615941803961
2022-02-28,-0.12006222784103959,-0.11438172454185247,-0.11279552723775854,-0.15367729113364093,-0.10058482626583132,-0.1099782338781371,-0.08810900145622302
2022-03-01,-0.12682787181908128,-0.11946770543267793,-0.11821594475731134,-0.16244089702987474,-0.10260702223661544,-0.11337650168010105,-0.10221915017832461
2022-03-02,-0.11680788869816883,-0.10969996139779159,-0.10953720850997961,-0.1499710834314717,-0.0942582381994096,-0.10985911344856991,-0.08548209852947342
2022-03-03,-0.11698528774774819,-0.10585258562308675,-0.10637340200741285,-0.1533156040768361,-0.08438136953484843,-0.10519175092778965,-0.0902875850460454
2022-03-04,-0.11827034631888855,-0.1051232306330443,-0.104194244324182,-0.15667413728490454,-0.07496980272948672,-0.0981623364036549,-0.09750528205485764
2022-03-07,-0.1396777311400046,-0.12244176641726923,-0.12236434132697749,-0.18579200740812718,-0.08555682437158718,-0.10787086821485126,-0.12414526401621406
2022-03-08,-0.14809700820340777,-0.13625313756293445,-0.13492543266945556,-0.19350342778574037,-0.10086412905823228,-0.1271476213826701,-0.1304809812940686
2022-03-09,-0.130232979674621,-0.12069218585459696,-0.11907516413450348,-0.167729440539525,-0.08936122637090205,-0.11617304408522178,-0.10813586600504566
2022-03-10,-0.12662209837422278,-0.11654302393539351,-0.11475134099604789,-0.16543398381863839,-0.08326574137764686,-0.11115773530484385,-0.11196358067075807
2022-03-11,-0.136004947387954,-0.12519411268832625,-0.1247747572912371,-0.17969815763970076,-0.09253215632047629,-0.12250503783233369,-0.12347390479118336
2022-03-14,-0.13883632100572507,-0.12719729035598482,-0.1254819073335678,-0.18113207638843531,-0.09003609485247388,-0.11977356387084537,-0.12997860710520948
2022-03-15,-0.12450253020473134,-0.1122696493292965,-0.11243267241295596,-0.16647857537671862,-0.07816262181467437,-0.10903067901197494,-0.11135268958517686
2022-03-16,-0.1042067249069869,-0.0973956607289076,-0.09445373844228877,-0.13501676124667983,-0.06773283331416502,-0.0967677528336357,-0.09146142025814963
2022-03-17,-0.09204765454854802,-0.0852863559234115,-0.0841989914652218,-0.1268392336413705,-0.05812144881701575,-0.09100137447523737,-0.08024295161887118
2022-03-18,-0.07959020134429318,-0.07425043297432132,-0.07326107400318049,-0.1082196731409264,-0.05073530959957051,-0.08460445569443276,-0.06951647375056647
2022-03-21,-0.08140496461947799,-0.07625797174672155,-0.0749275182283724,-0.11197173069236077,-0.049781455841681366,-0.08706773840913529,-0.06992091805701783
2022-03-22,-0.07198885955171941,-0.07001911761881163,-0.06718862463108322,-0.09412394490049181,-0.04773930249282521,-0.08255344614838767,-0.05940719845714593
2022-03-23,-0.0768271588449384,-0.07419939536132858,-0.07028758847925431,-0.10151809291339842,-0.04776323309905062,-0.0837102976405597,-0.07095081059373265
2022-03-24,-0.07277274755398366,-0.06880686255626367,-0.06605404432075146,-0.09944931636212784,-0.04041225241258484,-0.08000351149677531,-0.057624609921966274
2022-03-25,-0.07129963882929757,-0.0649724198554994,-0.0639313891523543,-0.10726092288137179,-0.03625746652971462,-0.0778150613862304,-0.052850375457264676
2022-03-28,-0.06276241242915215,-0.05785063382513833,-0.05701900399826765,-0.0934565484214459,-0.03331104957221109,-0.07447760728168173,-0.04608303374967082
2022-03-29,-0.052269601691724454,-0.04818993263214011,-0.047531062615154496,-0.0804808383931419,-0.029082425440332682,-0.06739992993571031,-0.03439130521089773
