ticker,cvar_bootstrap_t0_01,cvar_bootstrap_t0_014678,cvar_bootstrap_t0_0215443,cvar_bootstrap_t0_0316228,cvar_bootstrap_t0_0464159,cvar_bootstrap_t0_0681292,cvar_bootstrap_t0_1,cvar_bootstrap_t0_14678,cvar_bootstrap_t0_215443,cvar_bootstrap_t0_316228,cvar_bootstrap_t0_464159,cvar_bootstrap_t0_681292,cvar_bootstrap_t1,cvar_bootstrap_t1_4678,cvar_bootstrap_t2_15443,cvar_bootstrap_t3_16228,cvar_bootstrap_t4_64159,cvar_bootstrap_t6_81292,cvar_bootstrap_t10,cvar_bootstrap_t14_678,cvar_bootstrap_t21_5443,cvar_bootstrap_t31_6228,cvar_bootstrap_t46_4159,cvar_bootstrap_t68_1292,cvar_bootstrap_t100,cvar_montecarlo_t0_01,cvar_montecarlo_t0_014678,cvar_montecarlo_t0_0215443,cvar_montecarlo_t0_0316228,cvar_montecarlo_t0_0464159,cvar_montecarlo_t0_0681292,cvar_montecarlo_t0_1,cvar_montecarlo_t0_14678,cvar_montecarlo_t0_215443,cvar_montecarlo_t0_316228,cvar_montecarlo_t0_464159,cvar_montecarlo_t0_681292,cvar_montecarlo_t1,cvar_montecarlo_t1_4678,cvar_montecarlo_t2_15443,cvar_montecarlo_t3_16228,cvar_montecarlo_t4_64159,cvar_montecarlo_t6_81292,cvar_montecarlo_t10,cvar_montecarlo_t14_678,cvar_montecarlo_t21_5443,cvar_montecarlo_t31_6228,cvar_montecarlo_t46_4159,cvar_montecarlo_t68_1292,cvar_montecarlo_t100
PM,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.09917508828384536,0.09568333720655142,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.07653011312741469,0.08564852333048625,0.07247981796125942,0.05698193117892723,0.0,0.0,0.0,0.0,0.0,0.05217440642585804,0.05208112587361228,0.051974908316007436,0.051974908316024006,0.051986611620513636,0.05198661162052135,0.05198661162052528,0.055741787328715646,0.057821387433722185,0.05359281328073931,0.05262955482927595,0.04812096272258006,0.04389538100284564,0.042795507454417805,0.03254235766224875,0.035831156382857166,0.031039995829832596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGT,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012804710592355859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949013302107988,0.09969945670997775,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09686970307685251,0.09641276860136515,0.09359676430123752,0.09541248334659226,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09902321681596737,0.08001252489452439,0.09421549329652779,0.07783592615332847,0.023907107616125137,0.0,0.0
KR,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.02821231014088754,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09999999999999999,0.04760284248480587,0.0,0.0,0.0,0.0,0.0
IRM,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027809074441253806,0.004934842320393516,0.00606749771573882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019196885316349558,0.01918866583507808,0.018945677143135706,0.018945677143238943,0.018848045967529085,0.018848045967511953,0.018848045967510323,0.011139377058136979,0.01136881290371073,0.009433328968542001,0.01104556386833383,0.006518516439792322,0.01213729519901899,0.015659439590901353,0.011615000836654947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,0.09976416235571355,0.09976416317713803,0.09976416317713832,0.09976416317709148,0.09976416317713795,0.09726874227762566,0.09726874227762629,0.09726874227762916,0.09031053591222084,0.09028027331228743,0.09168813716760868,0.07746924207865909,0.07664536752318009,0.06945517718771521,0.043586151468361096,0.024751589534438657,0.022481358528967443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09374786707449075,0.09057885895920473,0.08905277818746907,0.0899869017033713,0.08939148266996357,0.08937046840922261,0.08231002655103478,0.07680142406053275,0.06652447933427916,0.03901805714392607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMUS,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03718142952314389,0.03710237140989983,0.037092048972477844,0.03709204897232038,0.0371356255349148,0.0371356255349201,0.03713562553491853,0.03808151617316194,0.038176757836595514,0.04270040826457795,0.0409227638090806,0.03636898253758173,0.030944651991771613,0.029353123452971027,0.02523439621877706,0.011168468480529712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBOE,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.08901766271344201,0.05893259231855763,0.0,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09999999999999999,0.1,0.037842190401547196,0.0,0.0,0.0,0.0
PGR,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.08683874191786464,0.00669954931090129,0.0,0.0,0.0,0.03810271522218906,0.03820999342615031,0.03822156062505207,0.03822156062506456,0.03816139887899819,0.03816139887896469,0.03816139887896297,0.04070860429329365,0.040326974734415426,0.04123233016308354,0.039441715701048374,0.04294821638595893,0.04305894494465055,0.03924898701489216,0.04508083334247237,0.033737411752843366,0.030450968918383725,0.027231859112846094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX,0.027008471306112718,0.027008471251132458,0.027008471251132423,0.027008471251136795,0.027008471251132496,0.026389580454103327,0.026389580454103247,0.026389580454119654,0.02795006406169502,0.027960090040441192,0.02771121486024543,0.026330345351378584,0.0262227539183693,0.03208225138373908,0.04595187200967263,0.056540702891077675,0.06833160201820448,0.07249857517420524,0.0715609747483847,0.06688415131762905,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010869414895537171,0.00455448107847734,0.009987691739665664,0.023792150922325974,0.03652413102699257,0.0623725105082119,0.0857265890872695,0.1,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
