method,annual_return,annual_volatility,sharpe_ratio,historical_var_95_daily,historical_cvar_95_daily,max_weight,min_weight,effective_number_of_holdings,delta,penalty,weight_sum
markowitz_d31_62,0.22726922116260226,0.14485518081665918,1.3148940900061836,0.011557998359212783,0.019698523250470477,0.09999999999999998,0.0,12.751334217461476,31.622776601683793,annual_volatility,1.0
markowitz_d16_68,0.23317556119330352,0.14512476048763348,1.3531499417016248,0.011455105663230665,0.019720638460923836,0.09999999999999999,3.0883201946340586e-18,12.93299096106194,16.68100537200059,annual_volatility,1.0
markowitz_d8_799,0.2458599397888859,0.14626019671389598,1.4293700164907779,0.011695636333550115,0.01984738104795367,0.09999999999999995,1.0365528075303018e-17,13.425308002355065,8.799225435691074,annual_volatility,1.0
markowitz_d4_642,0.2789042466306539,0.15173012073772196,1.5956241611983626,0.012376379143154296,0.020538400967207618,0.1,0.0,13.499312661789423,4.641588833612779,annual_volatility,1.0
markowitz_d2_448,0.34440339245766544,0.17204895542117413,1.7878829412515491,0.014828518160263345,0.023542160910244397,0.1,0.0,12.511912083187362,2.448436746822227,annual_volatility,1.0
markowitz_d1_292,0.4247895761430061,0.21615785612222813,1.7949362706651495,0.018866390659764056,0.03041067304759677,0.09999999999999998,0.0,11.35824254536136,1.291549665014884,annual_volatility,1.0
markowitz_d0_6813,0.4591370395868259,0.2527433873902177,1.6710112337569005,0.023066650952223235,0.03545173239481732,0.09999999999999996,0.0,10.504527287259398,0.6812920690579614,annual_volatility,1.0
markowitz_d0_3594,0.46197896906073915,0.2572761794931258,1.6526169266754815,0.023547356043055325,0.036078846909763616,0.09999999999999998,0.0,10.000000000000036,0.35938136638046275,annual_volatility,1.0
markowitz_d0_1896,0.4619789690607379,0.2572761794931251,1.6526169266754813,0.0235473560430552,0.036078846909763526,0.09999999999999969,0.0,10.000000000000123,0.1895735652406376,annual_volatility,1.0
markowitz_d0_1,0.4619789690607394,0.25727617949312603,1.652616926675481,0.02354735604305535,0.036078846909763644,0.0999999999999999,0.0,10.000000000000021,0.1,annual_volatility,1.0
