ticker,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo
PM,0.04,0.0514545171758881,0.04727369328149525,0.007646070091433471,0.10000000000008043,0.04389538100284564
TGT,0.04,0.03726635604361952,0.0365087180253614,0.0,0.0,0.0
COST,0.04,0.05763056515925163,0.04588779030491424,0.06288463127634952,0.0,0.1
KR,0.04,0.04656298347831305,0.0702719917094812,0.1,0.10000000000008043,0.1
IRM,0.04,0.04105573820900515,0.03401432159185785,0.0,0.0,0.01213729519901899
MCD,0.04,0.06063809022579232,0.04903145705460551,0.0,0.07664536752318009,0.08937046840922261
TMUS,0.04,0.04899529409638639,0.04464302708930033,3.007485677974119e-18,0.0,0.030944651991771613
CBOE,0.04,0.04973509949725552,0.05706855050760665,0.1,0.10000000000008043,0.1
PGR,0.04,0.04993538423513876,0.0497446422065841,0.08070222179435456,0.10000000000008043,0.04305894494465055
STX,0.04,0.03067187864407251,0.028968859952122047,0.08220148431346302,0.0262227539183693,0.0010869414895537171
NEM,0.04,0.03541959716355118,0.0500468748862153,0.07264143680434192,0.10000000000008043,0.1
NVDA,0.04,0.025639379308674565,0.02212021451647245,0.07307889271073038,0.0,0.0
VRT,0.04,0.023303958583421235,0.023432176341910794,0.037174109744686094,0.0,0.0
TKO,0.04,0.035046397978799854,0.03875407242189293,0.0,0.051115481962884866,0.02869312895503257
SW,0.04,0.028450627628399717,0.04494780127478125,0.0241492050624384,0.06178530238967587,0.06237908845011873
PWR,0.04,0.0361049275670186,0.029848619809381215,0.1,0.03657983891470973,0.07249279815549087
HWM,0.04,0.03226225068115605,0.02695160341297873,0.03225015097567643,0.0,0.0
MRNA,0.04,0.01814643773478954,0.030851753563069725,0.027271797226526267,0.015921124083925275,0.021309514963526004
AAPL,0.04,0.04235390633421019,0.03227357941471632,0.0,0.0,0.0
EA,0.04,0.04641810390563142,0.051480661925847174,1.2914488601934508e-17,0.10000000000008043,0.1
STLD,0.04,0.03134995305121371,0.026966576467416917,1.0030760646900168e-18,0.0,0.0
MCK,0.04,0.045792112210739234,0.04486250623749931,0.1,0.03173013120669196,0.03187637138924517
LLY,0.04,0.03962201622303178,0.043842755417849114,0.1,0.10000000000008043,0.055910596481552575
MSI,0.04,0.048994530116486905,0.03682412060209003,0.0,0.0,0.0
HCA,0.04,0.03714989474815295,0.033383631984550126,0.0,0.0,0.0068448185679709705
