ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
KR,0.09999999999999999,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
CBOE,0.09999999999999999,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
PWR,0.09999999999999999,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
LLY,0.09999999999999999,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
COST,0.09902321681596737,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
NEM,0.09317071517417869,Newmont,Materials,Gold,11,0.4665195277131281
STX,0.0857265890872695,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
EA,0.08232451674118793,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
MCK,0.07489651966193468,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
VRT,0.05892612860444964,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
SW,0.0378378936866612,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
TKO,0.02163880410709038,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
AAPL,0.020928143970459615,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
HCA,0.01871562715591715,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
NVDA,0.003928453967692273,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
STLD,0.002883391027191449,Steel Dynamics,Materials,Steel,21,0.7375547761559569
PM,0.0,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
PGR,0.0,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
TMUS,0.0,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
MCD,0.0,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
IRM,0.0,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
TGT,0.0,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
HWM,0.0,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
MRNA,0.0,Moderna,Health Care,Biotechnology,18,0.1673093116614791
MSI,0.0,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
