ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
MCD,0.06063809022579232,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
COST,0.05763056515925163,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
PM,0.0514545171758881,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
PGR,0.04993538423513876,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
CBOE,0.04973509949725552,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
TMUS,0.04899529409638639,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
MSI,0.048994530116486905,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
KR,0.04656298347831305,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
EA,0.04641810390563142,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
MCK,0.045792112210739234,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
AAPL,0.04235390633421019,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
IRM,0.04105573820900515,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
LLY,0.03962201622303178,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
TGT,0.03726635604361952,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
HCA,0.03714989474815295,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
PWR,0.0361049275670186,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
NEM,0.03541959716355118,Newmont,Materials,Gold,11,0.4665195277131281
TKO,0.035046397978799854,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
HWM,0.03226225068115605,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
STLD,0.03134995305121371,Steel Dynamics,Materials,Steel,21,0.7375547761559569
STX,0.03067187864407251,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
SW,0.028450627628399717,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
NVDA,0.025639379308674565,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
VRT,0.023303958583421235,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
MRNA,0.01814643773478954,Moderna,Health Care,Biotechnology,18,0.1673093116614791
