ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
KR,0.09999999999999874,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
CBOE,0.09999999999999874,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
MCD,0.09999999999999874,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
EA,0.09999999999999874,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
COST,0.09999999999999844,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
PGR,0.0808265577492415,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
NEM,0.07727735368877606,Newmont,Materials,Gold,11,0.4665195277131281
PM,0.06933350471133841,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
SW,0.06378935900716992,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
MCK,0.04896514337268867,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
LLY,0.04386876734186611,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
TMUS,0.04272580076240286,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
TKO,0.03216107267080164,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
MRNA,0.019526962861137812,Moderna,Health Care,Biotechnology,18,0.1673093116614791
PWR,0.0106607684586995,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
TGT,0.008058857108087113,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
STX,0.0028058522677940896,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
VRT,2.5885374251763658e-15,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
IRM,4.361449112268078e-16,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
HWM,0.0,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
NVDA,0.0,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
STLD,0.0,Steel Dynamics,Materials,Steel,21,0.7375547761559569
AAPL,0.0,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
MSI,0.0,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
HCA,0.0,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
