ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
COST,0.09999999999999998,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
CBOE,0.09999999999999998,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
EA,0.09999999999999998,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
MCD,0.09999999999999994,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
KR,0.09999999999999948,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
PGR,0.07950780878848404,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
NEM,0.07649142759878595,Newmont,Materials,Gold,11,0.4665195277131281
PM,0.06510641024846417,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
SW,0.06276926700231521,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
MCK,0.051900054637762115,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
LLY,0.04690436789038766,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
TMUS,0.03889233116057793,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
TKO,0.030125423666596443,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
MRNA,0.020052066539795188,Moderna,Health Care,Biotechnology,18,0.1673093116614791
PWR,0.017022342484769484,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
STX,0.0068861011407045135,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
TGT,0.004342398841356864,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
NVDA,3.733575692806531e-16,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
STLD,3.456135386689303e-16,Steel Dynamics,Materials,Steel,21,0.7375547761559569
HWM,2.2591933194772953e-16,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
MSI,8.203010799216089e-17,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
IRM,6.58502750897477e-17,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
VRT,0.0,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
AAPL,0.0,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
HCA,0.0,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
