ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
KR,0.0702719917094812,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
CBOE,0.05706855050760665,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
EA,0.051480661925847174,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
NEM,0.0500468748862153,Newmont,Materials,Gold,11,0.4665195277131281
PGR,0.0497446422065841,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
MCD,0.04903145705460551,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
PM,0.04727369328149525,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
COST,0.04588779030491424,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
SW,0.04494780127478125,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
MCK,0.04486250623749931,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
TMUS,0.04464302708930033,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
LLY,0.043842755417849114,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
TKO,0.03875407242189293,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
MSI,0.03682412060209003,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
TGT,0.0365087180253614,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
IRM,0.03401432159185785,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
HCA,0.033383631984550126,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
AAPL,0.03227357941471632,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
MRNA,0.030851753563069725,Moderna,Health Care,Biotechnology,18,0.1673093116614791
PWR,0.029848619809381215,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
STX,0.028968859952122047,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
STLD,0.026966576467416917,Steel Dynamics,Materials,Steel,21,0.7375547761559569
HWM,0.02695160341297873,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
VRT,0.023432176341910794,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
NVDA,0.02212021451647245,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
