ticker,cluster_id,symbol,company_name,sector,sub_industry,observations,annual_return,annual_volatility,risk_free_rate,excess_annual_return,sharpe_ratio,selected,mst_degree
PM,1,PM,Philip Morris International,Consumer Staples,Tobacco,1842,0.19108173094064074,0.2539511636732571,0.0368,0.15428173094064074,0.6075251977941132,True,2
TGT,2,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.12665874681061684,0.35063622796303984,0.0368,0.08985874681061684,0.25627342426261995,True,2
COST,3,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.2636638331898238,0.2267361855111827,0.0368,0.22686383318982378,1.0005629788573593,True,2
KR,4,KR,Kroger,Consumer Staples,Food Retail,1842,0.15776897915704335,0.2806292367229512,0.0368,0.12096897915704335,0.4310633509525201,True,1
IRM,5,IRM,Iron Mountain,Real Estate,Other Specialized REITs,1842,0.2694057664149303,0.31827303765777337,0.0368,0.2326057664149303,0.7308371708980332,True,1
MCD,6,MCD,McDonald's,Consumer Discretionary,Restaurants,1842,0.09753552810786625,0.21549053514723618,0.0368,0.060735528107866255,0.28184777612793094,True,1
TMUS,7,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1842,0.16884299143166404,0.2666977462642911,0.0368,0.13204299143166404,0.4951035143012142,True,1
CBOE,8,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1842,0.19598888850291418,0.26273063983280937,0.0368,0.15918888850291418,0.6059014989809154,True,1
PGR,9,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1842,0.22150573974313104,0.26167685926941114,0.0368,0.18470573974313104,0.7058543130593218,True,1
STX,10,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1842,0.5450335604609728,0.42602328552143076,0.0368,0.5082335604609729,1.1929713180792945,True,1
NEM,11,NEM,Newmont,Materials,Gold,1842,0.20890755078731815,0.36891821362974203,0.0368,0.17210755078731815,0.4665195277131281,True,1
NVDA,12,NVDA,Nvidia,Information Technology,Semiconductors,1842,0.7472685487807222,0.5096431686488387,0.0368,0.7104685487807223,1.3940509605265778,True,3
VRT,13,VRT,Vertiv,Industrials,Electrical Components & Equipment,1842,0.6200929185808566,0.5607173762469,0.0368,0.5832929185808566,1.0402618918020048,True,1
TKO,14,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,1842,0.1496410147502294,0.37284671939657776,0.0368,0.1128410147502294,0.3026471975745246,True,1
SW,15,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,1842,0.09911174692195424,0.4592845783134439,0.0368,0.062311746921954236,0.1356713241946236,True,1
PWR,16,PWR,Quanta Services,Industrials,Construction & Engineering,1842,0.5504997671960754,0.3619155443202955,0.0368,0.5136997671960755,1.4193912785946847,True,2
HWM,17,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1842,0.4755774291107142,0.4050224096948885,0.0368,0.4387774291107142,1.0833411154737191,True,4
MRNA,18,MRNA,Moderna,Health Care,Biotechnology,1842,0.15727652827831706,0.7200826247022045,0.0368,0.12047652827831706,0.16730931166147917,True,1
AAPL,19,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1842,0.31893881079568986,0.30851781202783474,0.0368,0.28213881079568986,0.9144976393461363,True,1
EA,20,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,1842,0.13899585759171496,0.2815051329892238,0.0368,0.10219585759171496,0.36303372697515635,True,1
STLD,21,STLD,Steel Dynamics,Materials,Steel,1842,0.3442192788768197,0.4168087426388186,0.0368,0.3074192788768197,0.7375547761559569,True,1
MCK,22,MCK,McKesson Corporation,Health Care,Health Care Distributors,1842,0.32050939844871573,0.28535339127680387,0.0368,0.28370939844871573,0.9942387478882513,True,1
LLY,23,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1842,0.3586682297441641,0.3297897421349986,0.0368,0.3218682297441641,0.9759801128453782,True,1
MSI,24,MSI,Motorola Solutions,Information Technology,Communications Equipment,1842,0.21671164735310522,0.26670190492683776,0.0368,0.17991164735310522,0.6745795362896225,True,1
HCA,25,HCA,HCA Healthcare,Health Care,Health Care Facilities,1842,0.20204261090732412,0.35173543832750837,0.0368,0.16524261090732412,0.4697923294082844,True,2
