ticker,cluster_id,symbol,company_name,sector,sub_industry,observations,annual_return,annual_volatility,risk_free_rate,excess_annual_return,sharpe_ratio,selected,mst_degree
PM,1,PM,Philip Morris International,Consumer Staples,Tobacco,1842,0.19108173094064074,0.2539511636732571,0.0368,0.15428173094064074,0.6075251977941132,True,2
MNST,1,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1842,0.17186825172737308,0.2618539762481173,0.0368,0.13506825172737308,0.5158151640950849,False,1
MO,1,MO,Altria,Consumer Staples,Tobacco,1842,0.13981619747652796,0.24002743271355212,0.0368,0.10301619747652796,0.4291850990193572,False,1
KO,1,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1842,0.10738159482147958,0.19774110129300085,0.0368,0.07058159482147958,0.3569394241255692,False,3
PG,1,PG,Procter & Gamble,Consumer Staples,Personal Care Products,1842,0.09739469857429195,0.20112001660927678,0.0368,0.06059469857429195,0.301286264768024,False,4
HSY,1,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,1842,0.10645011767261892,0.24060308437001224,0.0368,0.06965011767261892,0.28948139985399046,False,1
MDLZ,1,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1842,0.08712655609043307,0.21506139305950356,0.0368,0.05032655609043307,0.23401018367117446,False,4
PEP,1,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1842,0.0853539456846184,0.21174523156202107,0.0368,0.048553945684618405,0.229303608522569,False,7
CL,1,CL,Colgate-Palmolive,Consumer Staples,Household Products,1842,0.08235797750248897,0.20430203677232936,0.0368,0.04555797750248897,0.22299326145856288,False,1
CHD,1,CHD,Church & Dwight,Consumer Staples,Household Products,1842,0.07348577682410884,0.22384739784308877,0.0368,0.03668577682410884,0.16388743928944227,False,2
TSN,1,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1842,0.05488212405807236,0.29032914169286794,0.0368,0.018082124058072357,0.062281464246537785,False,1
KDP,1,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1842,0.04652828499348849,0.2418382391129665,0.0368,0.00972828499348849,0.04022641344549425,False,1
SJM,1,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,1842,0.03893205834071245,0.24881595075321125,0.0368,0.0021320583407124505,0.008568816967956923,False,1
GIS,1,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1842,0.026244722237858342,0.22330810986034788,0.0368,-0.010555277762141657,-0.047267776207244344,False,6
KMB,1,KMB,Kimberly-Clark,Consumer Staples,Household Products,1842,0.017768886523989558,0.21682547038506983,0.0368,-0.01903111347601044,-0.08777157703019048,False,2
STZ,1,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1842,0.010146281764249476,0.2872401148440472,0.0368,-0.026653718235750523,-0.09279246476496421,False,1
TAP,1,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1842,-0.014596708323074026,0.29831538084309167,0.0368,-0.051396708323074025,-0.1722898369430966,False,1
CAG,1,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1842,-0.010102682967188192,0.26958694465571154,0.0368,-0.04690268296718819,-0.17397980093986906,False,1
MKC,1,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,1842,-0.020021838394963742,0.2586457034056524,0.0368,-0.05682183839496374,-0.21968986009346547,False,1
CPB,1,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,1842,-0.02262683626294093,0.25456705496716214,0.0368,-0.05942683626294093,-0.2334427613604859,False,1
KHC,1,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,1842,-0.038449122124986745,0.2886222510109191,0.0368,-0.07524912212498674,-0.2607183675597483,False,2
CLX,1,CLX,Clorox,Consumer Staples,Household Products,1842,-0.0411347038030867,0.25853007476084616,0.0368,-0.0779347038030867,-0.30145314379837773,False,1
BF-B,1,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1842,-0.06011656759545958,0.2985089778171981,0.0368,-0.09691656759545958,-0.3246688535271112,False,2
HRL,1,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,1842,-0.05958276802714857,0.23877621670927937,0.0368,-0.09638276802714857,-0.4036531332787589,False,2
KVUE,1,KVUE,Kenvue,Consumer Staples,Personal Care Products,750,-0.10077797528724353,0.28831802791980765,0.0368,-0.13757797528724353,,False,1
TGT,2,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.12665874681061684,0.35063622796303984,0.0368,0.08985874681061684,0.25627342426261995,True,2
DG,2,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.02317925367379048,0.33047880269726204,0.0368,-0.01362074632620952,-0.04121518903796963,False,1
DLTR,2,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.006582108368435424,0.3877068527522004,0.0368,-0.030217891631564575,-0.07794005036810141,False,2
COST,3,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.2636638331898238,0.2267361855111827,0.0368,0.22686383318982378,1.0005629788573593,True,2
CASY,3,CASY,Casey's,Consumer Staples,Food Retail,1842,0.3011543273465551,0.28734169178125313,0.0368,0.2643543273465551,0.9199998987539971,False,1
WMT,3,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1842,0.23682625408986602,0.22151964184760842,0.0368,0.20002625408986602,0.9029729933721702,False,2
ORLY,3,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,1842,0.22330317925638155,0.25938716852644234,0.0368,0.18650317925638155,0.7190146695223635,False,2
AZO,3,AZO,AutoZone,Consumer Discretionary,Automotive Retail,1842,0.22362505181275072,0.26732803359833235,0.0368,0.18682505181275072,0.6988606817549874,False,1
RSG,3,RSG,Republic Services,Industrials,Environmental & Facilities Services,1842,0.17539132767770593,0.2055054420019668,0.0368,0.13859132767770593,0.6743924945616746,False,2
WM,3,WM,Waste Management,Industrials,Environmental & Facilities Services,1842,0.1597710311175926,0.2094383231964584,0.0368,0.12297103111759261,0.5871467515629539,False,1
ROL,3,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,1842,0.13675518845834622,0.2680652053778182,0.0368,0.09995518845834622,0.3728763989249061,False,1
